date,vendor,description,amount,account
2025-04-01,City Water Authority,Quarterly water bill - main office,425.00,Utilities
2025-04-03,Comcast Business,Internet service - April,189.99,Telecom
2025-04-05,W.B. Mason,Copy paper 20 cases and toner,612.00,Office Supplies
2025-04-07,Apex Medical Supply,Portable AED defibrillators x2,3200.00,Medical Equipment
2025-04-09,ServiceMaster Clean,Monthly janitorial service,750.00,Facilities
2025-04-10,ADP Payroll Services,April payroll - all grant staff,15800.00,Personnel
2025-04-10,ADP Payroll Services,April payroll taxes - employer share,2844.00,Fringe Benefits
2025-04-12,Progressive Insurance,Quarterly liability insurance premium,1875.00,Insurance
2025-04-14,Johnson Controls,HVAC maintenance - annual contract,2200.00,Facilities
2025-04-15,Insight Direct,Network switches and cabling,4750.00,IT Equipment
2025-04-17,Constant Contact,Email marketing platform - annual,480.00,Communications
2025-04-18,Uber Eats for Business,Team lunch - grant planning retreat,285.00,Meals
2025-04-20,American Airlines,Flights x2 to funder site visit,890.00,Travel
2025-04-20,Hampton Inn,Hotel 2 rooms 2 nights - funder visit,720.00,Travel
2025-04-22,Freelance Writer Co,Grant progress report writing,3500.00,Professional Services
2025-04-25,Internal Allocation,April indirect costs,4800.00,Indirect
2025-04-28,Parking Solutions Inc,Monthly parking permits - field staff x3,450.00,Transportation
2025-04-30,AT&T Mobility,Mobile phone service - 5 grant lines,375.00,Telecom
