Transaction Date,Contact Name,Description,Total Amount,Account Code,Tax Amount
2025-03-01,Dr. Sarah Kim,Curriculum development consulting - Phase 2,10000.00,6100,0.00
2025-03-05,Fisher Scientific,Lab reagents and microscope slides bulk order,2850.00,5200,228.00
2025-03-08,Pearson Education,STEM textbooks for summer program - 50 copies,1875.00,5200,150.00
2025-03-10,Arduino Store,Advanced robotics kits x15 for coding camp,2400.00,5200,192.00
2025-03-12,ADP Payroll Services,March payroll - STEM Program Manager,6000.00,6000,0.00
2025-03-12,ADP Payroll Services,March payroll - Lab Instructor (part-time),2800.00,6000,0.00
2025-03-15,Southwest Airlines,Flight to STEM education conference - Chicago,295.00,6300,0.00
2025-03-15,Holiday Inn Express,Hotel 2 nights - STEM conference,340.00,6300,0.00
2025-03-18,Office Depot,Printer paper and binders for student portfolios,178.50,5100,14.28
2025-03-20,Canva Pro,Annual design subscription for STEM materials,120.00,5500,0.00
2025-03-22,Local School District,Facility rental - March Saturday workshops,800.00,6400,0.00
2025-03-25,BlueCross BlueShield,March health insurance - STEM staff,1800.00,6050,0.00
2025-03-28,Internal Allocation,March indirect costs @ 10% de minimis,2900.00,7000,0.00
2025-03-30,Eventbrite,STEM fair registration platform fees,250.00,6400,0.00
